Dates,Canadian Dollar ($CADUSD) - Rate Value,Canada Prime Rate (%PRC1) - Rate Value,United States Prime Rate - Rate Value,Prime Rate Difference,Prime Rate Difference Percentage
1984-12-20,1.32,11.25,10.75,0.5,-0.0444444444444444
1984-12-21,1.32,11.25,10.75,0.5,-0.0444444444444444
1984-12-27,1.32,11.25,10.75,0.5,-0.0444444444444444
1984-12-28,1.32,11.25,10.75,0.5,-0.0444444444444444
1985-01-02,1.32,11.25,10.75,0.5,-0.0444444444444444
1985-01-03,1.32,11.25,10.75,0.5,-0.0444444444444444
1985-01-04,1.32,11.25,10.75,0.5,-0.0444444444444444
1985-01-07,1.32,11.75,10.75,1.0,-0.08510638297872342
1985-01-08,1.32,11.25,10.75,0.5,-0.0444444444444444
1985-01-09,1.32,11.25,10.75,0.5,-0.0444444444444444
1985-01-10,1.32,11.0,10.75,0.25,-0.022727272727272707
1985-01-11,1.32,11.0,10.75,0.25,-0.022727272727272707
1985-01-14,1.32,11.0,10.75,0.25,-0.022727272727272707
1985-01-15,1.32,11.0,10.5,0.5,-0.045454545454545414
1985-01-16,1.32,11.0,10.5,0.5,-0.045454545454545414
1985-01-17,1.33,11.0,10.5,0.5,-0.045454545454545414
1985-01-18,1.33,11.0,10.5,0.5,-0.045454545454545414
